"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"206799_at",4.25255033315395,1.84534137769317,0.261869322979683,7.04680241540298,1.8307598718201e-12,8.79970360828262e-10
"206898_at",4.02132107736278,-0.565707189924145,0.161138313620728,-3.51069324987261,0.000446939814984563,0.0269765480364496
"206999_at",3.70046426415945,-0.658403231156758,0.161037458615864,-4.08850982135343,4.3415316865266e-05,0.00400742692957282
"207018_s_at",4.06038620121548,0.609479008279255,0.15665110380518,3.89067803210144,9.99645017410694e-05,0.00794681286934895
"207039_at",5.92457690383287,-0.798081646049531,0.129164211928098,-6.17881403940123,6.45849145758055e-10,2.05286276055709e-07
"207056_s_at",3.90320601283182,0.842391841689612,0.167035347118596,5.04319508547798,4.57822059247765e-07,7.7236142696825e-05
"207134_x_at",5.8300085273381,0.465047621090146,0.13675160889431,3.40067385568798,0.00067219975663107,0.0372353025210112
"207357_s_at",5.44624594783323,0.636362357322479,0.135467818431714,4.69751683233354,2.63343488559681e-06,0.00036165227380109
"207522_s_at",5.32270267325892,0.596713070655045,0.134367303991536,4.44090975206761,8.95793597734657e-06,0.00104458014381993
"207741_x_at",5.23851351430193,0.495943462971403,0.145560745557367,3.40712367934353,0.000656513708600782,0.0364962359813699
"207746_at",3.86356656371653,-0.504062069886714,0.152262274475357,-3.31048561847337,0.000931342379534995,0.047549130242218
"207802_at",3.44666671053033,0.851543139762202,0.238013708735493,3.57770627703016,0.000346622648201642,0.0220846797388469
"207847_s_at",8.96682443881394,0.354283758879882,0.105223961827976,3.36694943552001,0.00076004622860798,0.0408682974820668
"208083_s_at",4.37072872453673,0.708047195058282,0.150909403144162,4.69186929579128,2.70720067923224e-06,0.000370491692955763
"208084_at",4.39304087061719,0.495947704608467,0.140198643621465,3.53746435627095,0.000403988710154363,0.0249573840470597
"208103_s_at",6.86519371709225,-0.532176242123036,0.113056713660234,-4.70716178538825,2.51189550555148e-06,0.000347381927915109
"208161_s_at",5.79523512886172,0.717508929014016,0.12832463848115,5.59135749382543,2.25301164213717e-08,5.35121739563915e-06
"208228_s_at",6.39241822944997,-0.760784538592872,0.133923018292832,-5.68076009853185,1.34097457040365e-08,3.34513745049934e-06
"208358_s_at",3.37951883636366,-1.24584014868692,0.178828934359558,-6.966658685009,3.24556780087454e-12,1.42134232559632e-09
"208425_s_at",4.36483069993583,0.643497493573814,0.14622060801454,4.40086730804612,1.0781904657973e-05,0.00122114364996939
"208451_s_at",8.09949264920833,0.491675150458836,0.113615858107512,4.32752221959699,1.50796136938417e-05,0.00162885412337507
"208607_s_at",5.54153991154277,-0.483054102104803,0.138401719595779,-3.49023193870444,0.000482601500446645,0.0287330144087675
"208891_at",8.31870409819048,0.395169417698608,0.10409099649657,3.7963842310956,0.000146821879126063,0.0110225477026184
"208892_s_at",8.08785176787288,0.432807807568091,0.105761149568223,4.09231375921176,4.27090231405442e-05,0.00395148694380612
"208893_s_at",6.6745092843093,0.55734838013914,0.115272772529151,4.8350392543755,1.33119363576533e-06,0.000201025540076838
"209074_s_at",3.96490295329312,-0.56766924226719,0.162750813804447,-3.48796561441021,0.000486710667920118,0.0288469387449677
"209114_at",4.87737720815377,0.923828252216434,0.151787592234293,6.08632259473786,1.15533541969925e-09,3.44972653272925e-07
